[14Apr2025 00:00:07.038] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: tumamakalata lost connection: Disconnected
[14Apr2025 00:00:07.041] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: tumamakalata left the game
[14Apr2025 00:00:13.482] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: arturrssb lost connection: Disconnected
[14Apr2025 00:00:13.482] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: arturrssb left the game
[14Apr2025 00:00:20.187] [Server thread/INFO] [net.minecraftforge.common.AdvancementLoadFix/]: Using new advancement loading for net.minecraft.server.PlayerAdvancements@13df367b
[14Apr2025 00:00:20.194] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: arturrssb[/127.5.90.10:46275] logged in with entity id 188762 at (-192.95459974785112, 72.0, -514.7446703906351)
[14Apr2025 00:00:20.196] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: arturrssb joined the game
[14Apr2025 00:00:20.202] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Server sent config handshake for deeperdarker to arturrssb
[14Apr2025 00:00:20.202] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Server sent config handshake for paragon to arturrssb
[14Apr2025 00:00:21.973] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake response from arturrssb : SUCCESS
[14Apr2025 00:00:21.973] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake succeeded with no issues
[14Apr2025 00:00:21.997] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake response from arturrssb : SUCCESS
[14Apr2025 00:00:21.997] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake succeeded with no issues
[14Apr2025 00:00:22.207] [Server thread/INFO] [net.minecraftforge.common.AdvancementLoadFix/]: Using new advancement loading for net.minecraft.server.PlayerAdvancements@21a1676c
[14Apr2025 00:00:22.213] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: tumamakalata[/127.83.137.248:57903] logged in with entity id 189002 at (-202.47555498854308, 72.0, -481.3603261425667)
[14Apr2025 00:00:22.215] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: tumamakalata joined the game
[14Apr2025 00:00:22.267] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Server sent config handshake for deeperdarker to tumamakalata
[14Apr2025 00:00:22.268] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Server sent config handshake for paragon to tumamakalata
[14Apr2025 00:00:42.186] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake response from tumamakalata : SUCCESS
[14Apr2025 00:00:42.186] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake succeeded with no issues
[14Apr2025 00:00:42.186] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake response from tumamakalata : SUCCESS
[14Apr2025 00:00:42.186] [Server thread/INFO] [com.kyanite.paragon.Paragon/]: Handshake succeeded with no issues
[14Apr2025 00:04:52.084] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-172, y=76, z=-513} BlockPos{x=-173, y=75, z=-513}
[14Apr2025 00:04:52.451] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-166, y=77, z=-523} BlockPos{x=-168, y=74, z=-523}
[14Apr2025 00:04:52.656] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-167, y=76, z=-523} BlockPos{x=-166, y=76, z=-522}
[14Apr2025 00:04:56.746] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:56.800] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:56.851] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:56.898] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:56.949] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:57.006] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-156, y=77, z=-523} BlockPos{x=-156, y=76, z=-523}
[14Apr2025 00:04:59.603] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-150, y=74, z=-523} BlockPos{x=-149, y=75, z=-523}
[14Apr2025 00:04:59.653] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-150, y=74, z=-523} BlockPos{x=-149, y=75, z=-523}
[14Apr2025 00:04:59.698] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-150, y=74, z=-523} BlockPos{x=-149, y=75, z=-523}
[14Apr2025 00:04:59.749] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-149, y=73, z=-523} BlockPos{x=-149, y=75, z=-523}
[14Apr2025 00:06:26.934] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-176, y=73, z=-510} BlockPos{x=-177, y=73, z=-510}
[14Apr2025 00:08:58.899] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-175, y=75, z=-521} BlockPos{x=-175, y=75, z=-520}
[14Apr2025 00:08:59.596] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-177, y=75, z=-521} BlockPos{x=-175, y=75, z=-521}
[14Apr2025 00:08:59.645] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-177, y=75, z=-521} BlockPos{x=-175, y=75, z=-521}
[14Apr2025 00:08:59.699] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-177, y=75, z=-521} BlockPos{x=-175, y=75, z=-521}
[14Apr2025 00:08:59.745] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-177, y=75, z=-521} BlockPos{x=-175, y=75, z=-521}
[14Apr2025 00:08:59.795] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-177, y=75, z=-521} BlockPos{x=-175, y=75, z=-521}
[14Apr2025 00:10:54.904] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-179, y=73, z=-518} BlockPos{x=-179, y=72, z=-519}
